agent,kind,risk,dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:claude-opus-4.7,fake_rejections,none,0.25,max_drawdown,5,8.79190555647039e-05,0.0,0.0002637571666941117,1.0,1.0,0.4472135954999579
poe:claude-opus-4.7,fake_rejections,none,0.75,max_drawdown,5,5.227065316795905e-05,0.0,0.00015681195950387715,1.0,1.0,0.447213595499958
poe:claude-opus-4.7,fake_violations,max-position,0.25,max_drawdown,5,2.393262575931159e-05,0.0,5.393923367048208e-05,0.5,1.0,0.6939948979450378
poe:claude-opus-4.7,fake_violations,max-position,0.75,max_drawdown,5,2.3932625759318962e-05,0.0,5.393923367048945e-05,0.5,1.0,0.6939948979451401
poe:claude-opus-4.7,fake_violations,none,0.25,max_drawdown,5,4.766871160484972e-05,0.0,0.00014300613481454914,1.0,1.0,0.4472135954999579
poe:claude-opus-4.7,fake_violations,none,0.75,max_drawdown,5,0.00029356972558289095,0.0,0.0006682907310201489,0.5,1.0,0.6878107542078873
poe:gemini-3.1-pro,fake_rejections,max-position,0.25,max_drawdown,5,-0.0007470620187058685,-0.002817080820290959,0.0006323230859828519,0.75,1.0,-0.32802526137487215
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,max_drawdown,5,0.0003611758597592552,-3.3025729844116115e-05,0.0010749257235833792,0.5,1.0,0.46491473186138516
poe:gemini-3.1-pro,fake_rejections,none,0.25,max_drawdown,5,0.0007378652185296615,-0.0005653405440792624,0.0024521959602920767,0.5,1.0,0.3887974340080491
poe:gemini-3.1-pro,fake_rejections,none,0.75,max_drawdown,5,0.0008560028529681407,-7.944300059345242e-05,0.0021854196323400615,0.375,1.0,0.5853927708184302
poe:gemini-3.1-pro,fake_violations,max-position,0.25,max_drawdown,5,0.0005383058116489314,-4.602069205862005e-05,0.0012651911973097824,0.5,1.0,0.6484133493607668
poe:gemini-3.1-pro,fake_violations,max-position,0.75,max_drawdown,5,-5.163196636383347e-05,-0.000986718091710248,0.00098114910383779,1.0,1.0,-0.04241608666912643
poe:gemini-3.1-pro,fake_violations,none,0.25,max_drawdown,5,0.00030521845182630944,-0.0001399763662883153,0.0009146289632421107,0.5,1.0,0.4210349701252803
poe:gemini-3.1-pro,fake_violations,none,0.75,max_drawdown,5,0.00033437007029719635,-0.0017247475251956912,0.001988816997735121,0.75,1.0,0.14295772280184257
poe:glm-5,fake_rejections,max-position,0.25,max_drawdown,5,-6.11238363765902e-05,-0.0001833715091297706,0.0,1.0,1.0,-0.4472135954999579
